N, V, Time (ms)
1000, 2, 0.07901
1000, 4, 0.063327
1000, 8, 0.085376
1000, 16, 0.092084
1000, 32, 0.078632
1000, 64, 0.111355
1000, 128, 0.068648
1000, 256, 0.100597
