N, V, Time (ms)
10000000, 2, 683.123
10000000, 4, 797.55
10000000, 8, 687.183
10000000, 16, 690.003
10000000, 32, 638.053
10000000, 64, 712.495
10000000, 128, 645.058
10000000, 256, 631.588
