N, V, Time (ms)
10000, 2, 0.613795
10000, 4, 0.902496
10000, 8, 0.854533
10000, 16, 0.731502
10000, 32, 0.969631
10000, 64, 0.645121
10000, 128, 0.633794
10000, 256, 0.82699
