N, V, Time (ms)
100000, 2, 6.31056
100000, 4, 6.55987
100000, 8, 8.71403
100000, 16, 6.40817
100000, 32, 6.55439
100000, 64, 8.22011
100000, 128, 8.32181
100000, 256, 6.98128
