method,pow_of_two,ncells,accurate_sum,test_sum,diff,relative_diff,runtime_seconds
long_double_acc,15,32768,1638.4000016384,1638.4000016384,0,0,0.000153003
pairwise,15,32768,1638.4000016384,1638.4000016384,0,0,0.000563918
kahan,15,32768,1638.4000016384,1638.4000016384,0,0,0.00032151
neumaier,15,32768,1638.4000016384,1638.4000016384,0,0,0.000245309
standard_double,16,65536,3276.8000032768,3276.8000032763707,-4.2928149923682213e-10,-1.3100631677476215e-13,0.000200633
long_double_acc,16,65536,3276.8000032768,3276.8000032768009,9.0949470177292824e-13,2.7755575587873336e-16,0.000315936
pairwise,16,65536,3276.8000032768,3276.8000032768,0,0,0.001773858
kahan,16,65536,3276.8000032768,3276.8000032768,0,0,0.00065175
neumaier,16,65536,3276.8000032768,3276.8000032768,0,0,0.000515314
standard_double,17,131072,6553.6000065536,6553.6000065628214,9.2213667812757194e-09,1.4070689044272388e-12,0.000421036
long_double_acc,17,131072,6553.6000065536,6553.6000065536045,4.5474735088646412e-12,6.9388938969683349e-16,0.000681379
pairwise,17,131072,6553.6000065536,6553.6000065536,0,0,0.003029725
kahan,17,131072,6553.6000065536,6553.6000065536,0,0,0.001322642
neumaier,17,131072,6553.6000065536,6553.6000065536,0,0,0.001013406
standard_double,18,262144,13107.2000131072,13107.200013143174,3.5974153433926404e-08,2.7446100920068552e-12,0.000849131
long_double_acc,18,262144,13107.2000131072,13107.200013107189,-1.0913936421275139e-11,-8.3266726763620017e-16,0.001358868
pairwise,18,262144,13107.2000131072,13107.2000131072,0,0,0.004581068
kahan,18,262144,13107.2000131072,13107.2000131072,0,0,0.002643219
neumaier,18,262144,13107.2000131072,13107.2000131072,0,0,0.0020024
standard_double,19,524288,26214.4000262144,26214.400025648229,-5.661713657900691e-07,-2.1597723587947758e-11,0.0017368
long_double_acc,19,524288,26214.4000262144,26214.400026214342,-5.8207660913467407e-11,-2.2204460470298668e-15,0.002874135
pairwise,19,524288,26214.4000262144,26214.4000262144,0,0,0.008979754
kahan,19,524288,26214.4000262144,26214.4000262144,0,0,0.005278624
neumaier,19,524288,26214.4000262144,26214.4000262144,0,0,0.003214528
standard_double,20,1048576,52428.8000524288,52428.800052923318,4.9451773520559072e-07,9.4321772520269963e-12,0.003488242
long_double_acc,20,1048576,52428.8000524288,52428.800052428072,-7.2759576141834259e-10,-1.3877787793936669e-14,0.00551667
pairwise,20,1048576,52428.8000524288,52428.8000524288,0,0,0.018863142
kahan,20,1048576,52428.8000524288,52428.8000524288,0,0,0.01017118
neumaier,20,1048576,52428.8000524288,52428.8000524288,0,0,0.008957867
standard_double,21,2097152,104857.6001048576,104857.60010842716,3.569555701687932e-06,3.4041935902770773e-11,0.006773102
long_double_acc,21,2097152,104857.6001048576,104857.60010486041,2.8085196390748024e-09,2.678413044229777e-14,0.011107203
pairwise,21,2097152,104857.6001048576,104857.6001048576,0,0,0.038329319
kahan,21,2097152,104857.6001048576,104857.6001048576,0,0,0.020365097
neumaier,21,2097152,104857.6001048576,104857.6001048576,0,0,0.017327213
standard_double,22,4194304,209715.2002097152,209715.2001908246,-1.8890597857534885e-05,-9.007738990137238e-11,0.013292674
long_double_acc,22,4194304,209715.2002097152,209715.20020971578,5.8207660913467407e-10,2.775557558787334e-15,0.019776007
pairwise,22,4194304,209715.2002097152,209715.2002097152,0,0,0.059542857
kahan,22,4194304,209715.2002097152,209715.2002097152,0,0,0.039887102
neumaier,22,4194304,209715.2002097152,209715.2002097152,0,0,0.027792932
standard_double,23,8388608,419430.4004194304,419430.40046243102,4.300061846151948e-05,1.0252146343831745e-10,0.027541435
long_double_acc,23,8388608,419430.4004194304,419430.40041936323,-6.7171640694141388e-08,-1.6014967114202916e-13,0.043760754
pairwise,23,8388608,419430.4004194304,419430.4004194304,0,0,0.130910002
kahan,23,8388608,419430.4004194304,419430.4004194304,0,0,0.081921688
neumaier,23,8388608,419430.4004194304,419430.4004194304,0,0,0.050705105
standard_double,24,16777216,838860.8008388608,838860.80085305602,1.4195218682289124e-05,1.6922019324414618e-11,0.053053784
long_double_acc,24,16777216,838860.8008388608,838860.80083880702,-5.3783878684043884e-08,-6.4115379607987407e-14,0.085136449
pairwise,24,16777216,838860.8008388608,838860.8008388608,0,0,0.24611125
kahan,24,16777216,838860.8008388608,838860.8008388608,0,0,0.158919575
neumaier,24,16777216,838860.8008388608,838860.8008388608,0,0,0.093662899
standard_double,25,33554432,1677721.6016777216,1677721.6004136028,-0.0012641188222914934,-7.5347353281222258e-10,0.104531967
long_double_acc,25,33554432,1677721.6016777216,1677721.6016787081,9.8650343716144562e-07,5.8800186882909671e-13,0.169109341
pairwise,25,33554432,1677721.6016777216,1677721.6016777216,0,0,0.43400841
kahan,25,33554432,1677721.6016777216,1677721.6016777216,0,0,0.317159685
neumaier,25,33554432,1677721.6016777216,1677721.6016777216,0,0,0.189469237
standard_double,26,67108864,3355443.2033554432,3355443.2019761028,-0.0013793404214084148,-4.1107547880085541e-10,0.204827968
long_double_acc,26,67108864,3355443.2033554432,3355443.2033561259,6.8265944719314575e-07,2.0344836905911157e-13,0.340081466
pairwise,26,67108864,3355443.2033554432,3355443.2033554432,0,0,0.880711554
kahan,26,67108864,3355443.2033554432,3355443.2033554432,0,0,0.63525574
neumaier,26,67108864,3355443.2033554432,3355443.2033554432,0,0,0.358576129
standard_double,27,134217728,6710886.4067108864,6710886.3933823528,-0.013328533619642258,-1.9861062774529643e-09,0.41321218
long_double_acc,27,134217728,6710886.4067108864,6710886.4067100072,-8.7916851043701172e-07,-1.3100631677476215e-13,0.686662058
pairwise,27,134217728,6710886.4067108864,6710886.4067108864,0,0,1.82186543
kahan,27,134217728,6710886.4067108864,6710886.4067108864,0,0,1.2691305
neumaier,27,134217728,6710886.4067108864,6710886.4067108864,0,0,0.842358572
